Station,Longitude,Latitude
LIPR,12.6128,44.0244
LIEE,9.0603,39.2434
LIRA,12.5846,41.8078
LIBR,17.9515,40.6577
LIPH,12.1944,45.6484
LIPX,10.8723,45.3875
LIRP,10.3956,43.6825
LIPQ,13.4722,45.8275
LIML,9.2626,45.4614
LIRQ,11.2028,43.8086
LIPZ,12.3519,45.5053
LIEA,8.2886,40.6311
LICJ,13.0994,38.1819
LIMC,8.7231,45.6300
LIMJ,8.8375,44.4133
LIMF,7.6494,45.2025
LIEO,9.5178,40.8986
LIME,9.7003,45.6689
LIBD,16.7650,41.1381
LICC,15.0639,37.4667
LIPE,11.2969,44.5308
LIRF,12.2389,41.8003
LIBP,14.1872,42.4372
LIRN,14.2917,40.8848
LIPY,13.3603,43.6167
LICA,16.2417,38.9083
LIPO,10.3306,45.4289
LIEB,9.7132,39.9307
LIMK,7.7317,45.0333
LIED,8.9675,39.3461
LIBY,18.3422,39.8114
LICZ,14.9186,37.4056
LIMU,8.1697,43.9572
LIQC,14.2023,40.5582
LIRM,14.0789,41.0606
LIBQ,16.3964,39.3306
LIRE,12.4452,41.6545
LIMH,7.7072,45.9352
LICT,12.4914,37.9142
LIRS,11.0589,42.7481
LIPS,12.1067,45.6839
LIPC,12.2919,44.2289
LIQO,11.1697,42.3869
LICF,15.5500,38.2000
LIPL,10.2814,45.4206
LIBV,16.9353,40.7661
LIRT,15.2328,41.0467
LIMS,9.7278,44.9092
LIPB,11.3264,46.4603
LICR,15.6536,38.0719
LIRL,12.9097,41.5458
LIRH,13.2994,41.6450
LIRV,12.0550,42.4383
LIBN,18.1389,40.2383
LICD,12.6183,35.4981
LIMZ,7.6232,44.5470
LIPK,12.0697,44.1956
LIMP,10.2964,44.8245
LIBC,17.0792,38.9967
LIMA,7.6034,45.0864
LICG,11.9711,36.8139
LIPF,11.6125,44.8156
LIMY,7.8000,44.2500
LIRJ,10.2393,42.7618
LIMW,7.3687,45.7385
LIRU,12.4999,41.9533
LIBG,17.3997,40.5172
LIMG,8.1256,44.0458
LIRK,12.9833,42.4667
LIMV,8.9375,44.5522
LIRI,14.9113,40.6204
LIQN,12.8500,42.4267
LIBA,15.7139,41.5381
LIMN,8.6692,45.5296
LIPA,12.6033,46.0286
LIBF,15.5350,41.4329
LIRG,12.7344,41.9967
LIMT,9.9286,44.4719
LIPI,13.0492,45.9756
LIQW,9.9850,44.0872
LIEC,9.5135,39.1039
LIRZ,12.5103,43.0972
LIVO,13.5861,46.5056
LIVD,12.22,46.73
LIVE,10.5,46.8333
LIYW,12.5992,46.0303
LIVC,10.7,44.1936
LIVM,12.2961,44.4414
LIVR,11.7867,46.2978
LIRX,10.38,42.73
LIVT,13.7538,45.6767
LIVF,12.7278,43.5169
LIVP,11.0376,46.1434
LIBH,16.8867,40.4244
LICL,14.225,37.0764
LIBT,14.9965,42.0043
LICE,14.2797,37.5681
LICO,15.1314,36.6861
LIBU,16.0136,40.0875
LICU,13.1772,38.7072
LIPU,11.8479,45.3958
LIBE,15.9476,41.7084
LIQJ,11.8331,42.0328
LICB,14.6,36.9333
QLQ,44.444,33.33